sentence,label
Үүний биелэл нь Pinecone Prep Program.,OTHER OTHER OTHER OTHER OTHER OTHER
Pinecone-той нэгдэж энэ тоог ихэсгэх зорилготой байна.,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Өртөг нь 20 сая доллар.,OTHER OTHER OTHER OTHER OTHER
Яагаад Artemis чухал вэ гэж үү?,OTHER OTHER OTHER OTHER OTHER OTHER
Гэвч ISS хөгширч байна.,OTHER OTHER OTHER FUTURE
Гэтэл бидэнд төсөв байтугай төлөвлөгөө ч алга.,OTHER OTHER OTHER OTHER OTHER OTHER OTHER
Одоо физикийн хичээлтэй.,OTHER OTHER OTHER
Үд дундыг бизнесийнхээ санааг хөгжүүлэхэд зориулдаг.,OTHER OTHER OTHER OTHER OTHER HABITUAL
Одоо жинхэнэ судалгааны ажил эхэлж байна.,OTHER OTHER OTHER OTHER OTHER FUTURE
"Даалгавруудаа дуусгаад, оройн уулзалтдаа бэлдэнэ.",OTHER OTHER OTHER OTHER FUTURE
Хэцүү хүн гэж яг хэнийг хэлэх вэ?,OTHER OTHER OTHER OTHER OTHER OTHER OTHER
"Тоо, статистик ч үүнийг гэрчилдэг.",OTHER OTHER OTHER OTHER HABITUAL
Үүнийг хөзөртэй зүйрлэж болох юм.,OTHER OTHER OTHER OTHER OTHER
Гэхдээ асуудал зөвхөн цусанд болж өрнөөд дуусчихгүй.,OTHER OTHER OTHER OTHER OTHER OTHER OTHER
Тэр ном уншсан.,OTHER OTHER PAST
Өглөөний мэнд асуусан.,OTHER OTHER PAST
Сэтгэлийн хөдөлгөөнийг илэрхийсэн.,OTHER OTHER PAST
Би учир шалтгаангүй дуралсан.,OTHER OTHER OTHER PAST
Хөдөө амьтдын амьдралд нөлөөлсөн.,OTHER OTHER OTHER PAST
Захируулах холбоогоор холбогдсон.,OTHER OTHER PAST
Сүүлчийн өгүүлбэр нь бусад өгүүлбэрээ захирсан.,OTHER OTHER OTHER OTHER OTHER PAST
Би гэртээ орсон.,OTHER OTHER PAST
Далд хийсээр тов хийсэн.,OTHER OTHER OTHER PAST
Би түүнд хайртайгаа хэлсэн.,OTHER OTHER OTHER PAST
Хайрлах тухай бодол төрсөн.,OTHER OTHER OTHER PAST
энэ шийдлийг нэвтрүүлэх хэрэгтэй гэдгийг тодотгосон.,OTHER OTHER OTHER OTHER OTHER PAST
сүүлийн хөрөнгө оруулалт гэдгийг Ж.Хуанг онцолсон.,OTHER OTHER OTHER OTHER OTHER PAST
OpenAI-ийн гол өрсөлдөгч Anthropic стартапад хөрөнгө оруулсан.,OTHER OTHER OTHER OTHER OTHER OTHER PAST
Тэд бидний чипүүдийг ашиглахаар болсон.,OTHER OTHER OTHER OTHER PAST
Компанид хоёр тэрбум долларын хөрөнгө оруулсан.,OTHER OTHER OTHER OTHER OTHER PAST
бид өөрсдөө хэн нэгнийг дээрэлхэхгүй байсан.,OTHER OTHER OTHER OTHER OTHER PAST
судалгаа хийдэг дадалтай болчихсон.,OTHER OTHER OTHER PAST
маш нуцахтай уншсан байх хэрэгтэй санагдсан.,OTHER OTHER OTHER OTHER OTHER PAST
Сайн хүмүүс амьдралд амжилттай явдаг гэдгийг ойлгосон.,OTHER OTHER OTHER OTHER OTHER OTHER PAST
Тэрхүү судалгааны үр дүнд Нобелийн шагнал авсан.,OTHER OTHER OTHER OTHER OTHER OTHER PAST
Чи өдөр бүр иддэг.,OTHER OTHER OTHER HABITUAL
Тэрээр ажилдаа ирдэг.,OTHER OTHER HABITUAL
Тэр сайн ярьдаг.,OTHER OTHER HABITUAL
Сайнханд хичээлээ ухамсартай хийдэг.,OTHER OTHER OTHER HABITUAL
Би тоглоом тоголдог.,OTHER OTHER HABITUAL
Тэр ном уншдаг.,OTHER OTHER HABITUAL
Би өдөр бүр иддэг.,OTHER OTHER OTHER HABITUAL
Тэр ном уншдаг.,OTHER OTHER HABITUAL
Би өдөр бүр нэг ном уншдаг.,OTHER OTHER OTHER OTHER OTHER HABITUAL
Би хоол зардаг.,OTHER OTHER HABITUAL
Орчин үеийн уран зохиол уншдаг.,OTHER OTHER OTHER OTHER HABITUAL
Боб ресторан ажиллуулдаг.,OTHER OTHER HABITUAL
Би дурангаа бариад суучихдаг.,OTHER OTHER OTHER HABITUAL
Сурагч нар хичээл дээр хоол идэж болдог.,OTHER OTHER OTHER OTHER OTHER OTHER HABITUAL
Ажилтан ажилдаа  өдөр бүр очдог.,OTHER OTHER OTHER OTHER HABITUAL
Тэр ажилаа хийдэг.,OTHER OTHER HABITUAL
Тэд хоол иддэг.,OTHER OTHER HABITUAL
Би өгүүлбэрийн утга олдог.,OTHER OTHER OTHER HABITUAL
Тэр түүх сонирхдог.,OTHER OTHER HABITUAL
Би гэртэй ирдэг.,OTHER OTHER HABITUAL
шууд бусаар хамгийн их нөлөөтэй байдаг.,OTHER OTHER OTHER OTHER OTHER HABITUAL
дэс дараалалтай загварыг баримталдаг.,OTHER OTHER OTHER HABITUAL
сургуулийн орчны асуудал гэж үздэг.,OTHER OTHER OTHER OTHER HABITUAL
