sentence,label
Тэр ажлаа дуусгасан,OTHER OTHER PAST
Хөдөө амьтдын амьдралд амжилттай дуусгасан,OTHER OTHER OTHER OTHER PAST
Тэр алдаа гаргасан,OTHER OTHER PAST
Тэр туршлагаас суралцсан,OTHER OTHER PAST
Тэр олон асуулт их зүйл сурсан,OTHER OTHER OTHER OTHER OTHER PAST
Тэр найзтайгаа уулзсан,OTHER OTHER PAST
Тэр шийдвэр гаргасан,OTHER OTHER PAST
Бид хамтдаа даван туулсан,OTHER OTHER OTHER PAST
Судалгаа шинэ зүйл ярьсан,OTHER OTHER OTHER PAST
Би учир шалтгаангүй дуралсан,OTHER OTHER OTHER PAST
Итгэл үнэмшилтэй хүмүүс амьдралд амжилттай дуусгасан,OTHER OTHER OTHER OTHER OTHER PAST
Бид хамт ажилласан,OTHER OTHER PAST
Тэр найзтайгаа уулзсан,OTHER OTHER PAST
Тэр туршлагаас суралцсан,OTHER OTHER PAST
Aхимаг насныхны хэмжээ багасан,OTHER OTHER OTHER PAST
Би өчигдөр ном уншсан,OTHER OTHER OTHER PAST
Хичээл зүтгэл үр дүнд нобелийн шагнал авсан,OTHER OTHER OTHER OTHER OTHER OTHER PAST
Бид төлөвлөгөө боловсруулсан,OTHER OTHER PAST
Судалгаа асуудлыг олон зүйл сурсан,OTHER OTHER OTHER OTHER PAST
Энэ л үеэр бид өөрсдөө хэн нэгнийг дээрэлхэхгүй байсан,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER PAST
Би учир шалтгаангүй дуралсан,OTHER OTHER OTHER PAST
Өглөөний мэнд асуусан,OTHER OTHER PAST
Тэр туршлага хуримтлуулсан,OTHER OTHER PAST
Өглөөний мэнд асуусан,OTHER OTHER PAST
Өглөөний мэнд асуусан,OTHER OTHER PAST
Бид хамт ажилласан,OTHER OTHER PAST
Би гэртээ амарсан,OTHER OTHER PAST
Би өчигдөр ном уншсан,OTHER OTHER OTHER PAST
Тэр урам зориг авсан,OTHER OTHER OTHER PAST
Бид олон зүйл сурсан,OTHER OTHER OTHER PAST
Бид хамт ялсан,OTHER OTHER PAST
Тэд төлөвлөгөө боловсруулсан,OTHER OTHER PAST
Би гэртээ амарсан,OTHER OTHER PAST
Тэр найзтайгаа уулзсан,OTHER OTHER PAST
Тэр шийдвэр гаргасан,OTHER OTHER PAST
Тэд төлөвлөгөө боловсруулсан,OTHER OTHER PAST
Хөдөө амьтдын амьдралд амжилттай дуусгасан,OTHER OTHER OTHER OTHER PAST
Тэр ном уншсан,OTHER OTHER PAST
Тэр ажлаа амжилттай дуусгасан,OTHER OTHER OTHER PAST
Тэр туршлагаас суралцсан,OTHER OTHER PAST
Би цагтаа ирсэн,OTHER OTHER PAST
Тэр асуудлыг шийдсэн,OTHER OTHER PAST
Тэр асуудлыг шийдсэн,OTHER OTHER PAST
Хүрсэн,PAST
Бид хамтдаа инээсэн,OTHER OTHER PAST
Далд хийсээр тов хийсэн,OTHER OTHER OTHER PAST
Би цагтаа ирсэн,OTHER OTHER PAST
Сургуулийн орчны асуудал шийдсэн,OTHER OTHER OTHER PAST
Хүрсэн,PAST
Би захиа бичсэн,OTHER OTHER PAST
Гэхдээ асуудал шийдсэн,OTHER OTHER PAST
Би цагтаа ирсэн,OTHER OTHER PAST
Бид ирээдүйгээ бүтээсэн,OTHER OTHER PAST
Бид хамтдаа инээсэн,OTHER OTHER PAST
Би цагтаа ирсэн,OTHER OTHER PAST
Энэ асуудлыг шийдсэн,OTHER OTHER PAST
Бид амжилтад хүрсэн,OTHER OTHER PAST
Би цагтаа ирсэн,OTHER OTHER PAST
Би шинэ төсөл эхлүүлсэн,OTHER OTHER OTHER PAST
Би ирээдүйгээ бүтээсэн,OTHER OTHER PAST
Бид хамт төсөл эхлүүлсэн,OTHER OTHER OTHER PAST
Тэд кино үзсэн,OTHER OTHER PAST
Далд хийсээр тов хийсэн,OTHER OTHER OTHER PAST
Тэд тоглолт үзсэн,OTHER OTHER PAST
Сэтгэлийн хөдөлгөөнийг илэрхийсэн,OTHER OTHER PAST
Тэр асуудлыг шийдсэн,OTHER OTHER PAST
Бид хамт хичээл хийсэн,OTHER OTHER OTHER PAST
Тэд тоглолт үзсэн,OTHER OTHER PAST
Тэр захидал бичсэн,OTHER OTHER PAST
Тэр шинэ төсөл эхлүүлсэн,OTHER OTHER OTHER PAST
Бид хамтдаа төсөл эхлүүлсэн,OTHER OTHER OTHER PAST
Сэтгэлийн хөдөлгөөнийг илэрхийсэн,OTHER OTHER PAST
Би цагтаа ирсэн,OTHER OTHER PAST
Би түүнд хайртайгаа хэлсэн,OTHER OTHER OTHER PAST
Тэр захидал бичсэн,OTHER OTHER PAST
Тэр захидал бичсэн,OTHER OTHER PAST
Тэр асуудал шийдсэн,OTHER OTHER PAST
Тэр асуудлыг шийдсэн,OTHER OTHER PAST
Бид кино үзсэн,OTHER OTHER PAST
Бид хамтдаа төсөл эхлүүлсэн,OTHER OTHER OTHER PAST
Бид зорилгоо тодорхойлсон,OTHER OTHER PAST
Судалгаа шинэ найзтай болсон,OTHER OTHER OTHER PAST
Судалгаа шинэ зүйл ойлгосон,OTHER OTHER OTHER PAST
Тэр зорилгоо тодорхойлсон,OTHER OTHER PAST
Тэр алдаагаа ойлгосон,OTHER OTHER PAST
Тэд хичээлээ хийдэг дадалтай болчихсон,OTHER OTHER OTHER OTHER PAST
Тэд бидний чипүүдийг ашиглахаар болсон,OTHER OTHER OTHER OTHER PAST
Би итгэл олсон,OTHER OTHER PAST
Тэр шинэ зүйл ойлгосон,OTHER OTHER OTHER PAST
Би шинэ найзтай болсон,OTHER OTHER OTHER PAST
Сүүлийн хөрөнгө оруулалт гэдгийг ойлгосон,OTHER OTHER OTHER OTHER PAST
Би шинэ санаа олсон,OTHER OTHER OTHER PAST
Харилцаа итгэл олсон,OTHER OTHER PAST
Тэр ажилдаа явдаг гэдгийг тодотгосон,OTHER OTHER OTHER OTHER PAST
Энэ шийдлийг нэвтрүүлэх хэрэгтэй гэдгийг ойлгосон,OTHER OTHER OTHER OTHER OTHER PAST
Тэр зорилгоо тодорхойлсон,OTHER OTHER PAST
Тэд тэмцээнд оролцсон,OTHER OTHER PAST
Би шинэ найзтай болсон,OTHER OTHER OTHER PAST
Зурагтаар үзэхтэй харьцуулах ч зүйл ойлгосон,OTHER OTHER OTHER OTHER OTHER PAST
Сүүлийн хөрөнгө оруулалт гэдгийг ж.хуанг онцолсон,OTHER OTHER OTHER OTHER OTHER PAST
Тэр хотод очсон,OTHER OTHER PAST
Би алдаагаа ойлгосон,OTHER OTHER PAST
Маш нуцахтай уншсан байх хэрэгтэй гэдгийг ойлгосон,OTHER OTHER OTHER OTHER OTHER OTHER PAST
Бид зорилгоо тодорхойлсон,OTHER OTHER PAST
